Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Campaign Description has no limit to enter the values,UN-71,10106,Bug,To Do,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 9:27 AM,08/Sep/21 12:39 PM,08/Sep/21 9:28 AM,,,0,"Steps to produce:

# Go to the Application
# Go to the marketing section
# Open marketing tracking page
# click on Add button
# verify Campaign description with more than 2500 characters



Expected result:

Campaign description does not have limit to enter the values.





Actual result:

Campaign description should have certain limit to enter the values.",,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-70,,,,,,,{},,UN-1,,,,,0|i000ki:,,UN Sprint 1,,,,,,,,To Do
"Verify the Campaign description with null values, alphanumeric and alphabet characters and more than 2500 characters",UN-70,10105,Test,Blocked,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 9:15 AM,08/Sep/21 12:59 PM,09/Sep/21 4:12 AM,,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-10,,,,,,,{},,UN-1,,,,,0|i000ka:,,UN Sprint 1,,,,,,,,In Progress
Verify the minimum and maximum characters to be taken in Campaign name,UN-69,10104,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 9:06 AM,08/Sep/21 9:22 AM,09/Sep/21 4:53 AM,08/Sep/21 9:22 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-10,,,,,,,{},,UN-1,,,,,0|i000k2:,,UN Sprint 1,,,,,,,,Done
Verify the alert message is displayed for mandatory fields when click on save button without filling it,UN-68,10103,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 9:02 AM,08/Sep/21 9:22 AM,09/Sep/21 4:53 AM,08/Sep/21 9:22 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-10,,,,,,,{},,UN-1,,,,,0|i000ju:,,UN Sprint 1,,,,,,,,Done
Verify Campaign description field is mandatory or not,UN-67,10102,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 8:58 AM,08/Sep/21 9:22 AM,09/Sep/21 4:53 AM,08/Sep/21 9:22 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-10,,,,,,,{},,UN-1,,,,,0|i000jm:,,UN Sprint 1,,,,,,,,Done
Verify tracking code can enter manually,UN-66,10101,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 8:54 AM,08/Sep/21 9:22 AM,09/Sep/21 4:53 AM,08/Sep/21 9:22 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-10,,,,,,,{},,UN-1,,,,,0|i000je:,,UN Sprint 1,,,,,,,,Done
Verify url present in examples fields when the page is opened,UN-65,10100,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 8:52 AM,08/Sep/21 9:22 AM,09/Sep/21 4:53 AM,08/Sep/21 9:22 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-10,,,,,,,{},,UN-1,,,,,0|i000j6:,,UN Sprint 1,,,,,,,,Done
Verify the place holder for Campaign name and campaign description,UN-64,10099,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 8:49 AM,08/Sep/21 9:22 AM,09/Sep/21 4:53 AM,08/Sep/21 9:22 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-10,,,,,,,{},,UN-1,,,,,0|i000iy:,,UN Sprint 1,,,,,,,,Done
Tracking code accepting more than 250 characters,UN-63,10098,Bug,To Do,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 6:32 AM,08/Sep/21 12:27 PM,08/Sep/21 9:25 AM,,,0,"Steps to produce:

# Go to the Application
# Go to the marketing section
# Open marketing tracking page
# verify tracking code with more than 250 characters



Expected result:

Tracking code does not have limit to enter the values.





Actual result:

Tracking code should have certain limit to enter the values.",,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-62,,,,,,,{},,UN-1,,,,,0|i000iq:,,UN Sprint 1,,,,,,,,To Do
Verify the tracking code with more than 250 characters,UN-62,10097,Test,Blocked,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 6:20 AM,08/Sep/21 12:27 PM,09/Sep/21 4:53 AM,,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-8,,,,,,,{},,UN-1,,,,,0|i000ii:,,UN Sprint 1,,,,,,,,In Progress
