Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the cursor appears while typing the content in the Campaign Name field,UN-51,10086,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 3:52 AM,08/Sep/21 1:05 PM,08/Sep/21 1:05 PM,08/Sep/21 4:03 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-6,,,,,,,{},,UN-1,,,,,0|i000g2:,,UN Sprint 1,,,,,,,,Done
Verify the Campaign Name field allows spaces between words,UN-50,10085,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 3:49 AM,08/Sep/21 1:06 PM,08/Sep/21 1:06 PM,08/Sep/21 4:03 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-6,UN-8,,,,,,{},,UN-1,,,,,0|i000fu:,,UN Sprint 1,,,,,,,,Done
Verify the Campaign Name field allows copy paste,UN-49,10084,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 3:46 AM,08/Sep/21 1:05 PM,08/Sep/21 1:05 PM,08/Sep/21 4:03 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-6,UN-8,,,,,,{},,UN-1,,,,,0|i000fm:,,UN Sprint 1,,,,,,,,Done
Verify the Campaign Name field with HTML characters,UN-48,10083,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 3:43 AM,08/Sep/21 1:05 PM,08/Sep/21 1:05 PM,08/Sep/21 4:01 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-6,UN-8,,,,,,{},,UN-1,,,,,0|i000fe:,,UN Sprint 1,,,,,,,,Done
Verify the Campaign Name field with lowercase alphabets,UN-47,10082,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 3:40 AM,08/Sep/21 1:06 PM,08/Sep/21 1:06 PM,08/Sep/21 4:03 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-6,,,,,,,{},,UN-1,,,,,0|i000f6:,,UN Sprint 1,,,,,,,,Done
Verify the Campaign Name field with uppercase alphabets,UN-46,10081,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 3:38 AM,08/Sep/21 1:06 PM,08/Sep/21 1:06 PM,08/Sep/21 4:03 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-6,,,,,,,{},,UN-1,,,,,0|i000ey:,,UN Sprint 1,,,,,,,,Done
Verify the Place holder of  Campaign Name field,UN-45,10080,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 3:36 AM,08/Sep/21 1:06 PM,08/Sep/21 1:06 PM,08/Sep/21 4:00 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-6,UN-8,,,,,,{},,UN-1,,,,,0|i000eq:,,UN Sprint 1,,,,,,,,Done
Verify the Campaign Name field with white spaces,UN-44,10079,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,08/Sep/21 3:32 AM,08/Sep/21 1:06 PM,08/Sep/21 1:06 PM,08/Sep/21 4:00 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-6,,,,,,,{},,UN-1,,,,,0|i000ei:,,UN Sprint 1,,,,,,,,Done
Verify existing data can be edited by clicking on action,UN-43,10078,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 8:18 AM,08/Sep/21 11:09 AM,08/Sep/21 11:09 AM,08/Sep/21 6:01 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-40,,,,,,,{},,UN-1,,,,,0|i0007y:,,UN Sprint 1,,,,,,,,Done
Verify data is present in result section,UN-42,10077,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 8:14 AM,08/Sep/21 11:09 AM,08/Sep/21 11:09 AM,08/Sep/21 11:09 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-40,,,,,,,{},,UN-1,,,,,0|i000ea:,,UN Sprint 1,,,,,,,,Done
Verify the delete button by clicking on the required rows to delete the unnecessary data,UN-41,10076,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 8:05 AM,08/Sep/21 10:30 AM,08/Sep/21 10:29 AM,08/Sep/21 10:12 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-39,,,,,,,{},,UN-1,,,,,0|i000e2:,,UN Sprint 1,,,,,,,,Done
As admin i need to see the results for filter data,UN-40,10075,Story,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 7:58 AM,08/Sep/21 11:54 AM,08/Sep/21 11:56 AM,03/Sep/21 9:15 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i0007s:,,UN Sprint 1,,,,,,,,Done
As admin i need to delete the data which is not necessary,UN-39,10074,Story,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 7:56 AM,08/Sep/21 11:08 AM,08/Sep/21 11:56 AM,03/Sep/21 9:16 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i0007q:,,UN Sprint 1,,,,,,,,Done
Verify the cancel button to not save the new data,UN-38,10073,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 7:49 AM,08/Sep/21 9:20 AM,08/Sep/21 9:19 AM,08/Sep/21 7:01 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-10,,,,,,,{},,UN-1,,,,,0|i000de:,,UN Sprint 1,,,,,,,,Done
Verify the new data by clicking on save button,UN-37,10072,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 7:42 AM,08/Sep/21 9:20 AM,08/Sep/21 9:20 AM,08/Sep/21 7:01 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-10,,,,,,,{},,UN-1,,,,,0|i000d6:,,UN Sprint 1,,,,,,,,Done
Verify mandatory fields by clicking on the save button without filling any fields,UN-36,10071,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 7:38 AM,08/Sep/21 9:19 AM,08/Sep/21 9:19 AM,08/Sep/21 7:01 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-10,,,,,,,{},,UN-1,,,,,0|i000cy:,,UN Sprint 1,,,,,,,,Done
Verify the example field that tracking code is added in the last of links,UN-35,10070,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 7:33 AM,08/Sep/21 9:19 AM,09/Sep/21 4:53 AM,08/Sep/21 7:01 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-10,,,,,,,{},,UN-1,,,,,0|i000cq:,,UN Sprint 1,,,,,,,,Done
Verify tracking code is updated automatically when the add marketing tracking form is opened,UN-34,10069,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 7:27 AM,08/Sep/21 9:18 AM,09/Sep/21 4:53 AM,08/Sep/21 7:01 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-10,,,,,,,{},,UN-1,,,,,0|i000ci:,,UN Sprint 1,,,,,,,,Done
"Verify the Campaign name field with maximum length, alphabet value, numeric value, alphanumeric value and with special characters",UN-33,10068,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 6:36 AM,08/Sep/21 9:19 AM,09/Sep/21 4:53 AM,08/Sep/21 7:01 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-10,,,,,,,{},,UN-1,,,,,0|i000ca:,,UN Sprint 1,,,,,,,,Done
"Verify the ""Filter button"" by filling all the fields",UN-32,10067,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 6:22 AM,08/Sep/21 9:35 AM,08/Sep/21 9:35 AM,08/Sep/21 9:35 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-11,,,,,,,{},,UN-1,,,,,0|i000c2:,,UN Sprint 1,,,,,,,,Done
"Verify the ""Filter button"" by filling one field",UN-31,10066,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 6:20 AM,08/Sep/21 9:35 AM,08/Sep/21 9:35 AM,08/Sep/21 9:35 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-11,,,,,,,{},,UN-1,,,,,0|i000bu:,,UN Sprint 1,,,,,,,,Done
Verify the Filter button without filling all the fields,UN-30,10065,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 6:08 AM,08/Sep/21 9:36 AM,08/Sep/21 9:36 AM,08/Sep/21 9:36 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-11,,,,,,,{},,UN-1,,,,,0|i000bm:,,UN Sprint 1,,,,,,,,Done
Verify the Tracking code field with null value,UN-29,10064,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 5:55 AM,08/Sep/21 6:26 AM,09/Sep/21 4:53 AM,08/Sep/21 6:03 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-8,,,,,,,{},,UN-1,,,,,0|i000be:,,UN Sprint 1,,,,,,,,Done
Verify the tracking code field with special character,UN-28,10063,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 5:53 AM,08/Sep/21 6:26 AM,09/Sep/21 4:53 AM,08/Sep/21 6:03 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-8,,,,,,,{},,UN-1,,,,,0|i000b6:,,UN Sprint 1,,,,,,,,Done
Verify the tracking code field with alphanumeric value,UN-27,10062,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 5:52 AM,08/Sep/21 6:26 AM,09/Sep/21 4:53 AM,08/Sep/21 6:03 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-8,,,,,,,{},,UN-1,,,,,0|i000ay:,,UN Sprint 1,,,,,,,,Done
Verify the tracking code field with numeric value,UN-26,10061,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 5:51 AM,08/Sep/21 6:25 AM,09/Sep/21 4:53 AM,08/Sep/21 6:01 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-8,,,,,,,{},,UN-1,,,,,0|i000aq:,,UN Sprint 1,,,,,,,,Done
Verify the tracking code field with alphabet value,UN-25,10060,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 5:49 AM,08/Sep/21 6:25 AM,09/Sep/21 4:53 AM,08/Sep/21 6:01 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-8,,,,,,,{},,UN-1,,,,,0|i000ai:,,UN Sprint 1,,,,,,,,Done
Verify the date is displayed in DD/MM/YYYY format in in Date Added field,UN-24,10059,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 5:26 AM,08/Sep/21 1:04 PM,08/Sep/21 1:04 PM,03/Sep/21 9:13 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-7,,,,,,,{},,UN-1,,,,,0|i000aa:,,UN Sprint 1,,,,,,,,Done
"Verify the arrow buttons are working properly i.e., moving to backward and forward in Date Added field",UN-23,10058,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 5:21 AM,08/Sep/21 1:04 PM,08/Sep/21 1:04 PM,03/Sep/21 9:13 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-7,,,,,,,{},,UN-1,,,,,0|i000a2:,,UN Sprint 1,,,,,,,,Done
Verify the past date or month or year can be selected in Date Added field,UN-22,10057,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 5:17 AM,08/Sep/21 1:08 PM,08/Sep/21 1:08 PM,03/Sep/21 9:13 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-7,,,,,,,{},,UN-1,,,,,0|i0009u:,,UN Sprint 1,,,,,,,,Done
Verify the calendar to check today's date is highlighted in Date Added field,UN-21,10056,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 5:12 AM,08/Sep/21 1:08 PM,08/Sep/21 1:08 PM,03/Sep/21 9:13 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-7,,,,,,,{},,UN-1,,,,,0|i0009m:,,UN Sprint 1,,,,,,,,Done
Verify the calendar is opened when click on the calendar icon  in Date Added field,UN-20,10055,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 5:05 AM,08/Sep/21 1:08 PM,08/Sep/21 1:08 PM,03/Sep/21 9:13 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-7,,,,,,,{},,UN-1,,,,,0|i0009e:,,UN Sprint 1,,,,,,,,Done
Verify the date can be in  written form in Date Added field,UN-19,10054,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 4:42 AM,08/Sep/21 1:08 PM,08/Sep/21 1:08 PM,03/Sep/21 9:13 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-7,,,,,,,{},,UN-1,,,,,0|i00096:,,UN Sprint 1,,,,,,,,Done
Verify the Campaign Name field with special character,UN-17,10052,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,03/Sep/21 3:26 AM,08/Sep/21 1:09 PM,08/Sep/21 1:08 PM,08/Sep/21 2:56 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-6,,,,,,,{},,UN-1,,,,,0|i0008y:,,UN Sprint 1,,,,,,,,Done
Verify the Campaign Name field with alphanumeric value,UN-16,10051,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,02/Sep/21 9:46 AM,08/Sep/21 1:09 PM,08/Sep/21 1:09 PM,08/Sep/21 2:56 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-6,,,,,,,{},,UN-1,,,,,0|i0008q:,,UN Sprint 1,,,,,,,,Done
Verify the Campaign Name field with more than 32 characters value,UN-15,10050,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,02/Sep/21 9:42 AM,08/Sep/21 1:09 PM,08/Sep/21 1:09 PM,08/Sep/21 2:56 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-6,,,,,,,{},,UN-1,,,,,0|i0008i:,,UN Sprint 1,,,,,,,,Done
Verify the Campaign Name field with numeric value,UN-14,10049,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,02/Sep/21 9:41 AM,08/Sep/21 1:09 PM,08/Sep/21 1:09 PM,03/Sep/21 10:55 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-6,,,,,,,{},,UN-1,,,,,0|i0008a:,,UN Sprint 1,,,,,,,,Done
Verify the Campaign Name field with null value,UN-13,10048,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,02/Sep/21 9:40 AM,08/Sep/21 1:02 PM,08/Sep/21 1:02 PM,08/Sep/21 2:56 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-6,,,,,,,{},,UN-1,,,,,0|i00082:,,UN Sprint 1,,,,,,,,Done
Verify the Campaign Name field with alphabet value,UN-12,10047,Test,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,02/Sep/21 9:22 AM,08/Sep/21 1:09 PM,08/Sep/21 1:09 PM,08/Sep/21 2:56 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,UN-6,,,,,,,{},,UN-1,,,,,0|i0007u:,,UN Sprint 1,,,,,,,,Done
"As admin i need to filter the marketing tracking details by using ""Filter button""",UN-11,10046,Story,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,02/Sep/21 7:05 AM,08/Sep/21 10:08 AM,08/Sep/21 11:56 AM,03/Sep/21 9:15 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i0007m:,,UN Sprint 1,,,,,,,,Done
"As admin i need to add  new data by clicking on ""Add button"" in Marketing Tracking List",UN-10,10045,Story,Blocked,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,02/Sep/21 6:46 AM,09/Sep/21 4:33 AM,08/Sep/21 11:56 AM,,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,UN-63,UN-71,,,,,,,,{},,UN-1,,,,,0|i0007l:i,,UN Sprint 1,,,,,,,,In Progress
"As admin i need to enter ""Tracking Code"" to filter the customer details in market tracking",UN-8,10043,Story,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,02/Sep/21 5:42 AM,08/Sep/21 6:51 AM,08/Sep/21 11:56 AM,03/Sep/21 9:10 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,UN-63,,,,,,,,,{},,UN-1,,,,,0|i0007l:,,UN Sprint 1,,,,,,,,Done
"As admin i need to enter date in ""Date Added"" to filter the customer details field in market tracking",UN-7,10042,Story,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,02/Sep/21 5:41 AM,08/Sep/21 5:51 AM,09/Sep/21 4:27 AM,03/Sep/21 9:09 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i0007j:,,UN Sprint 1,,,,,,,,Done
"As admin i need to enter ""Campaign Name"" to filter the customer details in market tracking",UN-6,10041,Story,Done,UN,uniform,software,Pravallika Narra,612ef7e1dae0a200718ab525,,Medium,Done,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,Pravallika Narra,612ef7e1dae0a200718ab525,02/Sep/21 5:40 AM,08/Sep/21 3:56 AM,08/Sep/21 11:56 AM,03/Sep/21 9:05 AM,,0,,,Pravallika Narra,612ef7e1dae0a200718ab525,,,,,,,,,,,,,,,,,,{},,UN-1,,,,,0|i0007b:,,UN Sprint 1,,,,,,,,Done
